Mouse,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72,Bin73,Bin74,Bin75,Bin76,Bin77,Bin78,Bin79,Bin80,Bin81,Bin82,Bin83,Bin84,Bin85,Bin86,Bin87,Bin88,Bin89,Bin90,Bin91,Bin92,Bin93,Bin94,Bin95,Bin96,Bin97,Bin98,Bin99,Bin100,Bin101,Bin102,Bin103,Bin104,Bin105,Bin106,Bin107,Bin108,Bin109,Bin110,Bin111,Bin112,Bin113,Bin114,Bin115,Bin116,Bin117,Bin118,Bin119,Bin120,Bin121,Bin122,Bin123,Bin124,Bin125,Bin126,Bin127,Bin128,Bin129,Bin130,Bin131,Bin132,Bin133,Bin134,Bin135,Bin136,Bin137,Bin138,Bin139,Bin140,Bin141,Bin142,Bin143,Bin144,Bin145,Bin146,Bin147,Bin148,Bin149,Bin150,Bin151,Bin152,Bin153,Bin154,Bin155,Bin156,Bin157,Bin158,Bin159,Bin160,Bin161,Bin162,Bin163,Bin164,Bin165,Bin166,Bin167,Bin168,Bin169,Bin170,Bin171,Bin172,Bin173,Bin174,Bin175,Bin176,Bin177,Bin178,Bin179,Bin180,Bin181,Bin182,Bin183,Bin184,Bin185,Bin186,Bin187,Bin188,Bin189,Bin190,Bin191,Bin192,Bin193,Bin194,Bin195,Bin196,Bin197,Bin198,Bin199,Bin200,Bin201,Bin202,Bin203,Bin204,Bin205,Bin206,Bin207,Bin208,Bin209,Bin210,Bin211,Bin212,Bin213,Bin214,Bin215,Bin216,Bin217,Bin218,Bin219,Bin220,Bin221,Bin222
3009,10.67742,0,13.277781,19.247522,8.605673,0,0,18.597076,13.216939,0,0,10.22323,12.589722,16.088074,5.653047,17.097572,0,6.765564,0.036577,10.962649,0,17.668184,9.996352,0,12.755092,13.140215,0,0,5.696471,25.143626,14.072167,7.942781,0,14.774335,4.656287,0,12.590928,0,9.996732,0,12.377215,14.933962,7.536607,0.771331,5.239341,0,0,12.530794,9.851249,1.046638,29.74775,4.914554,0.052331,4.48552,20.555917,13.971753,33.979307,22.919497,36.932636,44.864399,39.85421,5.300294,41.529446,19.585506,16.06909,53.706478,10.469851,32.876897,36.28835,35.504309,18.982769,36.696847,28.91948,20.800907,35.071358,35.368832,26.443333,0.2702,35.969886,16.39005,11.862305,16.288385,12.696646,16.656034,39.579996,16.282067,11.416223,16.015216,23.176972,38.762726,29.04007,19.67635,62.107166,14.905452,40.207579,27.965981,18.374516,46.363181,32.708973,15.058731,8.57245,16.875385,24.595719,19.602392,21.717741,3.264681,29.153872,24.312548,13.766165,41.757787,12.025828,18.766929,19.231998,24.084614,5.797796,3.255791,45.465707,21.147727,30.76664,14.133166,0.307482,37.585098,10.756369,38.165567,0,12.822074,43.775423,25.194651,6.321202,14.883803,30.939216,1.89873,19.423131,20.03345,24.375171,10.177804,8.471483,11.167771,17.763294,28.859077,3.944757,14.968967,22.834768,30.738572,11.886009,45.234844,1.867382,11.648874,0.029597,26.856748,33.406772,0,0,20.169243,30.031504,11.22549,32.006789,5.110389,24.735096,6.123432,0,13.928706,25.453936,17.09728,10.743285,12.88149,19.979792,34.181314,12.243267,28.185149,5.20559,5.240686,25.001754,9.038767,11.649163,27.795183,8.203217,0,14.828189,15.821399,4.671259,0,0,0,15.935262,0,26.01616,1.095036,19.961312,0.002954,6.597817,10.465976,0,0.287658,22.275612,14.769772,0.059193,16.904679,7.047348,0,0,0,10.410137,0,12.195704,0,0,14.492793,0,20.041709,0,41.486312,0,0,0,0,0,0,0,54.24526,0,0
3011,0,0,11.823718,0.979186,1.870617,16.922021,0.206157,11.931983,0,0,4.806509,7.446082,0,4.351099,6.200949,13.998026,0,10.199764,0,8.792118,0.07533,0,0,0,0,32.480205,0,5.417827,10.10813,0,0,3.316689,10.509598,0,12.122748,0.787338,6.990278,13.702945,39.121404,12.237419,0,0,0,11.586707,0,0,0,15.779081,0,22.392727,0,0,1.763667,29.881258,20.491731,24.953841,27.347195,53.867476,12.940276,8.891074,34.916012,39.505499,27.306877,14.25412,17.153996,25.231106,13.018169,28.664439,60.35656,14.855168,8.717116,13.494914,53.461174,31.337149,16.377011,33.116735,18.911377,39.972801,50.874073,20.360841,42.628257,12.653295,20.922306,1.061526,6.404842,29.43559,56.2316,22.618934,25.674919,24.578761,22.035639,46.851355,12.033591,14.689312,64.915959,23.509422,39.409767,25.201645,14.364286,58.267285,14.6427,28.260783,48.864768,18.603206,52.493522,32.369324,39.744158,21.297983,22.329589,16.410793,33.964827,43.718499,28.886262,2.455341,50.492157,35.38303,25.866134,7.375186,35.139717,27.113589,18.674016,34.416507,7.126357,9.677185,16.32701,26.646788,5.293042,3.989719,11.104739,50.923468,10.369976,8.095227,37.127181,0,12.929163,24.462779,28.872918,0.120118,32.176202,7.144607,24.441207,23.099985,11.822123,14.456313,1.855304,12.372115,0,0,12.466919,16.91886,0.534597,57.277467,27.515921,0,38.191735,9.777156,8.590061,10.549312,17.600391,9.696053,1.069493,23.457447,4.252958,41.153061,15.068192,42.36165,23.881125,18.098124,51.711757,7.698407,49.253722,23.276961,5.92425,8.631191,0.44198,0.040348,0,0.125943,24.382085,0,6.426348,0,12.402267,0,0,0,0,0,0,0,0,0,0,14.032283,4.03726,12.877582,15.57738,0.051479,1.452309,15.289051,0.063684,15.417182,1.413088,5.99488,0,18.443838,0.352129,0,0,0,0,0,0,0,0,0,0,58.545688,0,7.192539,0,0.732219
3021,0.049805,6.459501,11.292444,10.489318,0.057055,0,6.129438,0,0,0,0,5.179072,0,7.411943,0,10.898842,0.183281,0,0,0,7.445762,0,0.372152,8.254391,0,0,3.537861,5.017392,0.959538,5.741037,0,0,0.032217,0,0,3.733679,4.363867,0.11629,0.104206,9.536199,6.629682,4.692954,5.40558,4.291915,4.163495,0,9.810643,4.260042,1.267183,5.962674,6.660048,1.591549,2.932308,10.849935,6.183681,42.727646,47.632643,83.500765,50.136406,79.791656,67.007915,87.488832,54.256624,88.477205,37.305366,28.663344,30.94788,47.88037,56.645566,54.390916,37.60146,54.804187,81.767922,32.078143,48.773733,20.595978,11.380455,51.564096,16.954081,33.504884,14.171771,13.573027,32.414311,12.714496,0.926067,3.839146,37.923402,45.674323,19.638019,15.141259,42.873086,29.65576,34.269019,31.874621,26.133014,15.124974,34.082229,36.664005,10.125615,17.942044,35.015412,41.494281,36.708688,67.902634,42.345489,25.850671,26.749627,29.436858,32.097782,23.759201,14.831519,25.110326,20.39485,8.267462,0,13.053333,23.189492,37.495666,20.129373,0.503659,0.050339,16.932062,21.513977,20.375851,24.042221,0,0.191842,24.862186,28.656169,13.664123,2.768809,14.507039,25.475409,20.600875,21.205346,33.540164,35.376228,21.709645,8.832282,21.755101,10.14086,38.210802,10.432559,8.833897,5.458341,11.655931,14.018185,5.731407,15.712766,17.526038,26.326419,14.724723,19.036891,28.920752,21.05331,22.282811,7.386004,0,0,5.488907,5.901921,34.063309,17.383412,10.281194,0,13.113023,7.760386,9.076554,6.537414,27.123344,26.564446,26.304288,8.340217,17.787724,19.849547,4.107486,0,0,4.578384,0,0,0,0,0,8.01309,0,0,0,0,0,0,0,0,0,0,0,4.216196,2.651965,8.367728,0,0,0,0,0,0,0,0,0,0,0,12.378071,0,0,0,0,25.846884,12.070395,35.412375,0.826139,0,0,0
3024,0,8.055576,0,0,0,0,0,0,0,0,0,0,0,0,4.978865,14.367178,0,0,0,0,0,0,10.258943,0,8.778384,0,3.362268,20.085162,4.684114,0,0,0,8.619659,1.014935,6.845557,0,13.301789,6.245597,0,1.141628,5.934689,0,0,8.05896,1.69543,0,4.755005,0,0,5.213588,0.006811,11.105264,24.662904,6.173262,15.553805,21.644082,75.423178,46.927723,25.81024,64.382395,96.138356,108.258722,63.674571,57.523241,45.05035,76.303525,50.209278,67.818173,80.055199,105.755785,62.599075,52.414736,67.252909,48.066634,27.291872,50.797571,67.411042,8.083229,21.268341,3.690391,8.57563,40.851591,25.836313,4.299195,19.031183,52.585555,47.842736,26.978242,38.656778,14.910877,17.260255,15.361497,19.267442,11.455137,11.275392,14.314069,11.510623,33.656846,25.550096,1.604085,33.939539,57.682273,31.207454,14.683429,30.874817,1.828416,18.257897,0,14.83044,17.158173,6.795548,4.4357,36.011978,7.737953,9.016839,14.796096,14.869868,0,4.249936,7.979641,7.899276,0,0,15.867573,13.532056,15.327796,32.840406,28.503731,20.652357,14.482615,0.166095,7.011218,9.541591,10.887629,7.899257,1.632149,30.683679,0,0,9.223877,5.77334,4.103525,12.101185,1.557773,16.215328,8.205318,14.402925,16.961072,11.086481,0.093035,0,10.436423,27.692553,2.188025,14.269229,23.567845,0.112677,0.464106,5.320873,0,0.698298,36.236133,15.560617,28.77088,1.72662,19.012773,2.504014,6.026434,8.112287,37.69846,0.086785,27.834559,28.028756,2.653508,3.963598,14.386127,20.554249,0,0,14.722883,0,0,0,7.049178,2.519707,7.231153,3.032374,14.175424,0,3.872703,30.020376,1.759048,0.254431,0,7.726803,18.248443,0.314078,10.034774,8.105337,9.117594,0,13.586617,30.471303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3028,16.622087,0,21.763914,6.61688,0,0,0,0,0,0,0,0.311202,21.491029,0,0,0,0,0,0,45.246753,10.394308,0,0,0,0,15.530289,0,19.718038,10.117678,3.268199,17.53731,41.376686,0.648987,0,0,0,0,18.301335,12.208868,7.859987,0,0,0,0,0,0,7.558668,0,0,0,5.014253,7.808514,8.527642,6.538581,13.454416,55.271465,39.897863,61.00382,24.882025,123.743008,96.049895,113.281972,67.316993,107.701165,95.005733,95.477197,60.366135,161.297835,136.105151,37.096055,52.459394,60.466638,59.065388,23.448427,30.961438,18.676335,29.530292,0,3.347259,5.480359,3.693695,4.953952,0.362269,26.78267,43.951467,31.694498,47.550418,30.502967,20.118753,17.503803,14.165375,13.884907,43.115831,7.66947,44.117243,32.859695,31.610582,16.959023,14.845054,6.28815,6.534474,24.550869,30.627279,0,36.693505,15.484397,29.114477,0,4.393688,0.228679,0,15.997361,27.811598,1.691232,14.419749,35.97064,5.0589,14.606578,35.582814,4.564712,11.891009,26.24814,14.118571,8.873562,52.939475,32.856895,12.270447,7.627296,0,0,5.311564,17.713249,11.181665,0,0,0,0,0,13.874016,23.234257,37.370772,23.170288,0,20.653987,7.821489,0.087556,0,25.149287,25.031936,9.851002,16.815219,0,9.006094,23.837998,32.836521,9.994403,37.319216,11.110771,15.923295,0,15.568001,4.381912,12.426322,32.39516,43.959542,77.787881,15.517497,20.007456,19.550863,17.178381,0.003,0.280581,15.987187,8.671392,5.150872,11.282706,0,0,0,0,0,1.185147,18.117938,32.975981,0,0.267045,5.369511,19.961843,0,22.033931,38.254696,5.680183,17.604497,2.530085,20.29768,5.562874,0,0,0,8.276497,16.922131,0,1.221758,5.020315,0,0,0,0,0,0,23.327502,1.424653,0,16.156284,45.426702,3.870008,3.49384,0,9.335991,0,0,0
3029,0,0,7.818349,0,11.41862,0,0,6.621579,12.623258,0,10.146734,14.257343,6.115035,12.118024,0,0,0,1.055162,9.365668,9.832171,0,5.312249,17.324167,0,0,16.300374,0,0,0,23.088764,7.75278,0,0,16.015863,1.460354,8.433367,7.495711,0,7.005534,4.379319,33.761937,14.636115,2.521433,0,10.739652,18.545042,0,0,16.768967,4.274288,1.297943,9.641511,37.493575,14.371614,13.925298,26.923438,30.804755,41.647127,90.421897,50.129417,58.892924,62.527065,46.755495,51.415918,39.826424,45.257306,20.849879,21.184218,31.489223,41.056506,47.108766,11.118449,23.897939,2.408322,43.20268,19.589392,24.669412,42.610073,16.118803,17.27243,29.988961,2.00949,44.564494,20.637567,41.94578,55.76504,17.418153,42.392714,24.388992,27.127841,20.344925,27.425156,23.748179,35.890567,10.48206,30.049918,7.432743,17.565847,47.221141,28.887826,12.668019,21.448964,26.032108,0.705375,1.827597,9.479467,1.234741,4.935987,59.751816,19.647893,28.554036,26.152961,0.073441,11.06455,0.71554,0,19.264904,24.073143,21.164663,32.653705,52.467737,9.10872,8.22386,11.58846,10.124105,11.203501,0,0,9.391684,14.018137,4.118178,11.783014,4.17394,29.306515,45.882854,12.345411,0,18.538496,3.896021,10.472832,27.389313,9.050171,9.597067,29.184605,16.047187,8.096779,24.456786,7.275983,0,0,18.572784,7.458992,0,8.724123,0.297503,15.00753,0,0,8.416919,15.365777,9.893293,35.558135,15.530994,6.714238,5.239227,12.935203,17.069262,26.997331,19.751894,32.611982,39.166971,33.570859,20.644205,0,13.429767,1.096268,3.608438,4.705329,24.822108,11.025933,6.290377,19.780349,4.328866,0.325118,0,6.795284,0.160662,8.721123,28.617637,1.604318,7.2816,17.305002,0.127353,0.891394,17.631318,19.922972,5.504538,13.422829,12.348773,5.678914,0,0,12.156094,0,11.168808,20.439981,0,0,15.928638,0,0,0,0,0,27.8918,0,43.144431,1.826043,2.817858,44.739392,0,0
3031,5.458253,3.21565,0,0,0,0,7.88672,16.733299,19.035649,0,0,8.398067,0,0,8.001051,12.108605,0.474805,0,0,0,0,0,23.043966,0,0,11.534307,6.060017,13.978096,2.990421,0,16.425253,0.572481,0,7.579883,3.581495,0,0.051188,12.498345,7.145885,8.112172,0,9.172169,0,0,0,16.38459,15.774129,10.131884,4.725446,0,7.167638,6.809845,8.194359,10.266424,4.226382,42.667853,20.961885,59.044344,48.836271,55.645528,9.773786,22.78457,20.926135,22.534887,47.801142,24.16815,22.841476,34.350768,59.421698,4.576793,34.822706,42.337996,19.219839,32.861301,25.505095,29.595592,11.659687,1.99204,72.70224,31.094319,30.749783,28.796063,13.670827,9.991023,21.478696,45.986708,24.724913,34.565605,23.985124,40.745915,30.33325,48.401619,45.289204,0.175245,10.071552,42.072087,55.312587,18.552259,36.326036,5.92678,47.061434,74.143016,20.567519,15.330764,40.765764,1.384388,13.243437,23.047021,30.677722,20.506796,27.458581,35.463463,5.357443,18.550846,8.06873,17.857846,37.687507,16.005117,17.273821,46.418292,36.275592,27.081272,8.075244,56.029966,4.092841,16.572192,22.868225,32.930278,29.433971,15.211759,6.322115,25.345337,28.149813,7.976987,16.052765,38.647655,9.180086,7.237847,0,8.807249,0,12.935974,34.893328,23.760097,1.77897,25.674155,43.730935,0,11.600852,5.923641,0,38.667507,24.34558,24.53971,0,0,0,13.791081,9.622853,11.375079,10.100872,24.823187,28.451809,15.364097,8.182289,10.443926,1.128341,50.578422,28.46554,4.685464,4.934932,33.999353,14.724015,0,12.022569,0,0,0,15.285974,6.209562,0,0,15.914753,12.140297,0,0,9.365887,2.360279,48.172195,20.349466,0.244907,0,0,0,12.664014,0,0,0,13.655162,0,0,22.717359,8.670054,0,0,0,0,0,0,14.588781,0,0,18.750666,0.475198,0,25.319468,0,0,0,0,0,0
3033,0,0.052693,0,0,0.209433,0,0,0.501617,0,0,0,0,0,0,0,0.229236,8.390801,0,0,12.147535,0,7.736533,6.503801,7.863399,0,0,23.680986,0,0,8.481597,0,8.934993,0,0,0,0,0.817462,0,0,3.222512,5.426259,0,4.877718,0,0,0,24.072557,7.139959,0,9.482955,15.997319,10.903585,28.116854,4.841915,16.308242,12.634365,10.693714,49.115192,25.850018,36.772876,70.662524,17.655395,14.240586,23.890222,29.849046,86.194154,3.329598,19.150499,43.731709,12.192935,10.355701,60.979754,18.70502,50.381928,39.916096,6.521431,0.745912,38.707504,40.725015,43.330721,44.564776,21.298874,14.221853,44.743747,54.904229,23.491402,38.491824,32.272273,25.179593,28.277295,25.092293,42.592834,90.218958,33.785382,45.776721,55.99713,51.087674,39.640674,31.349682,52.565996,32.104883,19.586105,4.513864,44.530707,32.438218,38.849253,30.445123,29.042541,0.446388,41.32108,26.428582,14.424118,1.508015,27.012109,51.305458,40.298163,13.951267,22.694169,40.842378,28.349869,29.467434,2.232451,19.672018,4.708356,36.81911,30.946885,6.070089,0.989117,52.311541,10.477926,39.014895,0.48975,6.167885,30.787154,0,29.419012,6.312769,22.668031,16.474897,29.086042,16.197721,0,5.545645,25.550844,14.842294,22.568609,6.247835,39.670268,30.602983,2.082637,14.254619,34.936682,0,4.966411,35.633148,5.226759,45.367385,28.3707,19.237581,11.196941,10.221869,14.058996,43.951592,0.217616,40.549785,0.099215,2.280508,34.664123,14.191372,20.693037,20.654829,38.058557,13.428453,44.138867,6.702243,10.252304,0.725515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.405473,0,0,30.386679,0,0,0.757387,0,0,0,0,0,0,0,0,0,0
3035,0,0,12.337061,0,12.420594,7.517675,8.503852,2.149071,5.729163,6.935206,8.620714,0.988963,18.298681,8.592183,0,0,0,0,5.713359,0,13.648634,16.847188,0.150626,8.639126,23.487613,10.140938,2.15594,0,0,0,0,9.191323,6.111367,17.639321,1.794177,20.919215,0,10.868521,18.355079,0,7.084742,4.953888,0.058199,0.185978,21.141205,21.191046,11.860215,9.69444,3.908112,3.363517,7.244972,21.7384,8.035036,27.976625,19.633762,37.112935,32.638071,48.533069,51.418241,46.372405,53.273388,61.616364,58.758922,58.406602,18.751362,66.038758,37.609819,22.404527,83.725349,62.2499,33.059608,40.356026,53.962288,51.696389,60.165436,59.603358,30.319407,56.827684,15.155115,41.013181,10.495804,20.761848,42.922817,21.546054,75.121754,77.991858,29.69185,72.15128,26.5745,18.06881,59.219336,40.51805,15.299045,37.182557,18.6679,3.823167,6.413678,0.088799,0,0.219215,12.018866,10.847907,33.329956,28.244432,14.353496,47.480544,28.280426,73.307628,9.640129,27.864579,8.584437,7.78494,0,0,15.535073,8.730564,21.004936,2.319232,13.740377,0,28.466951,16.114046,16.294966,0.618133,45.664595,33.388441,23.925491,8.663652,0.101323,0,28.737055,9.946851,17.717246,0,13.175594,0,14.472569,0.224807,11.173556,28.721125,9.292594,13.038258,38.187919,38.329047,0,16.023215,2.121529,8.094084,12.730758,8.822538,0,0,8.369575,4.557971,19.176522,23.448812,31.435324,5.43655,15.86909,24.902076,34.295816,0.140095,0,0,0,0,17.33361,7.61074,25.976248,35.533746,14.974134,46.296505,0,1.28333,0,15.406378,20.541355,0,0,19.760493,0,0,0,0,13.808835,3.879733,0,0,26.572643,14.343206,0.290144,12.435952,0.138814,14.150906,40.997199,9.345104,0.236979,16.316893,0,18.16472,0,0,0.136074,34.511485,0,0,21.15789,0,0,0,0,0,0,0,48.960767,0,0,0,0,0,0.918744,0
3036,0,0,0,22.291854,0,0,18.590177,0,11.323809,20.672826,0,8.015216,8.381219,0,0,15.452294,0,18.996612,10.23963,8.98925,0.653908,7.616824,25.910209,11.429326,0,7.154257,19.014848,0,0,19.192626,0,9.64413,35.581405,10.237157,14.104662,31.623192,16.339541,6.15158,18.682323,1.634358,21.683962,30.754738,5.557154,0,0,15.131364,28.800924,4.409659,18.797761,3.259056,32.472712,17.394942,18.866966,25.883129,7.216557,31.248875,28.918548,34.239233,23.979461,31.680819,33.535327,20.532517,16.473629,14.518792,10.445856,29.926181,42.994456,20.01897,16.344177,31.637745,25.930203,74.737525,10.857996,29.001598,13.030542,42.393434,36.056006,36.643117,13.729305,32.798417,7.865966,35.993391,41.781098,7.938998,4.416423,25.108819,53.21298,31.438577,24.93568,16.977616,28.296945,49.535094,27.979869,49.538803,13.133501,3.751636,34.836965,55.570708,41.211323,21.512099,1.59436,0,12.275383,19.05047,27.130855,33.02427,43.932464,14.941259,11.320235,31.001675,20.988441,15.181563,8.469257,6.077249,29.154299,5.32182,17.361707,42.560563,2.487073,0.906299,25.022902,0,12.004545,25.045074,2.932356,18.598356,19.898261,5.295954,37.165104,30.874184,28.939137,11.904256,1.750362,20.033258,0.544492,0,0,0,24.259641,22.038066,9.070505,6.603948,0,6.781859,12.998913,24.639606,18.871078,23.775792,14.191423,16.10059,9.599549,14.927377,0,3.079682,15.145938,7.801236,9.84664,0,0,18.098411,0.181801,6.309255,1.166331,56.873156,27.081744,6.001761,9.2803,32.26648,10.478757,43.63987,18.111331,0.860787,17.450546,8.592066,15.360528,0,0,0,8.65566,11.3669,0.260831,7.504639,46.058433,3.799607,8.199218,1.954878,15.622635,20.184905,14.779373,21.709299,19.322783,16.979183,14.720774,34.421694,5.87059,3.992408,6.012477,10.794972,0,0,0,0,17.558247,5.437925,0,0.995801,18.339873,0.307481,31.85629,0.019811,23.906118,17.383097,7.17602,0,29.800021,3.657721,0,8.259089,18.309109,24.564924,9.17264,0
