Mouse,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72,Bin73,Bin74,Bin75,Bin76,Bin77,Bin78,Bin79,Bin80,Bin81,Bin82,Bin83,Bin84,Bin85,Bin86,Bin87,Bin88,Bin89,Bin90,Bin91,Bin92,Bin93,Bin94,Bin95,Bin96,Bin97,Bin98,Bin99,Bin100,Bin101,Bin102,Bin103,Bin104,Bin105,Bin106,Bin107,Bin108,Bin109,Bin110,Bin111,Bin112,Bin113,Bin114,Bin115,Bin116,Bin117,Bin118,Bin119,Bin120,Bin121,Bin122,Bin123,Bin124,Bin125,Bin126,Bin127,Bin128,Bin129,Bin130,Bin131,Bin132,Bin133,Bin134,Bin135,Bin136,Bin137,Bin138,Bin139,Bin140,Bin141,Bin142,Bin143,Bin144,Bin145,Bin146,Bin147,Bin148,Bin149,Bin150,Bin151,Bin152,Bin153,Bin154,Bin155,Bin156,Bin157,Bin158,Bin159,Bin160,Bin161,Bin162,Bin163,Bin164,Bin165,Bin166,Bin167,Bin168,Bin169,Bin170,Bin171,Bin172,Bin173,Bin174,Bin175,Bin176,Bin177,Bin178,Bin179,Bin180,Bin181,Bin182,Bin183,Bin184,Bin185,Bin186,Bin187,Bin188,Bin189,Bin190,Bin191,Bin192,Bin193,Bin194,Bin195,Bin196,Bin197,Bin198,Bin199,Bin200,Bin201,Bin202,Bin203,Bin204,Bin205,Bin206,Bin207,Bin208,Bin209,Bin210,Bin211,Bin212,Bin213,Bin214,Bin215,Bin216,Bin217,Bin218,Bin219,Bin220,Bin221,Bin222
3009,8.923242,0.423166,44.343477,17.278887,31.191778,12.149475,14.391627,20.642515,4.044292,7.431398,0.255826,24.867698,15.933748,45.725656,14.509559,25.922247,1.365623,24.231224,12.492181,7.354913,2.506956,46.210932,5.280009,6.386151,8.536779,20.740016,1.738637,8.84452,9.768352,56.906339,147.195092,89.357323,70.168821,42.882621,5.201582,1.906479,23.991312,25.606012,62.950253,5.310075,25.879025,49.238943,125.208623,169.586112,168.647793,42.543603,68.41917,19.834568,6.331069,86.303246,91.888666,30.158656,52.160039,178.755027,440.217214,450.568249,478.856432,411.884961,380.201424,445.126741,401.543588,380.396899,212.706952,211.560466,183.062934,203.937138,176.123938,208.856627,212.153654,129.161199,136.666659,114.532102,69.003498,72.338133,31.167082,104.574782,165.932822,142.013964,176.5303,214.996092,154.479212,112.598385,113.908215,214.835164,271.843605,336.694382,298.956744,244.399548,262.979208,179.045036,199.357787,194.513445,127.531372,120.730079,139.588377,192.568086,227.128655,220.302877,251.711332,192.899561,229.636059,145.132494,228.910064,171.059928,238.541566,279.973886,227.504324,182.877709,207.551365,244.168504,223.582868,135.853906,167.45628,181.712569,183.359653,94.445584,153.769532,219.038177,178.475859,90.806233,41.150715,97.776133,105.586285,95.910238,69.856148,76.741995,84.805496,105.877805,125.131842,98.044956,167.704937,80.65337,68.427179,55.758679,144.217225,84.277619,89.179114,140.160744,226.651274,148.931597,83.246743,88.517011,46.788921,62.325657,39.271324,60.679167,7.838272,30.965632,39.268571,72.787325,50.011993,63.665959,40.724439,91.927593,107.961157,77.266401,129.823813,88.132416,133.998066,37.942419,6.83149,76.613512,89.4545,226.928505,294.763757,87.86304,95.331203,86.270627,28.448014,86.431323,56.052348,20.532148,44.880687,46.513754,16.544983,39.859466,52.849504,20.254916,18.978074,24.245216,11.272961,0.931225,0.506215,0,15.176576,33.915697,36.463373,100.251132,47.353612,44.245354,24.006823,67.200235,30.484144,10.057781,25.199967,38.046217,37.978927,78.352327,30.955724,10.910076,25.824467,2.977776,10.74337,0.250215,38.850699,8.568368,5.429699,41.533156,54.142588,35.415518,4.975983,85.996417,3.260728,1.221206,0,0,0,0,0,47.698862,1.517606,0.509012
3011,0.346793,0.947924,6.187989,5.747711,12.781108,12.40098,7.51316,20.876137,21.779122,6.560263,5.236449,9.327694,1.22735,7.689333,14.574822,14.502489,8.727252,12.635159,45.375001,26.067672,18.160988,25.141203,1.558555,1.737088,2.324107,36.492038,4.910093,12.832362,14.292346,1.578237,1.30424,6.605233,9.348732,2.310632,19.646648,21.920874,37.187412,36.367258,53.19515,36.476125,5.357128,1.823156,2.152382,24.222043,1.569779,1.222681,2.141512,18.976982,5.260743,25.337682,4.672934,4.268669,29.684809,70.027288,34.402852,69.535355,145.142635,164.644716,134.408291,158.116061,161.506191,164.968658,95.551733,90.033346,54.6108,74.912146,78.985039,59.132861,98.64615,30.801268,54.644745,82.745839,64.777447,54.476038,12.14027,20.381486,23.974657,35.150305,57.078027,35.304164,65.343745,82.436487,59.235975,40.264407,44.519503,96.145221,103.718795,82.181362,79.051425,80.357924,67.458082,77.791314,63.109678,96.832459,98.618143,67.608631,77.380282,120.791947,76.430857,87.602546,99.061234,137.757389,124.627382,131.867592,197.648561,184.436677,169.506754,139.009478,113.35213,107.137025,131.142492,161.625776,168.356301,188.484295,107.858886,115.769987,128.865385,121.421091,90.874456,138.673445,68.710541,95.391196,76.505338,94.742571,104.453396,75.622052,57.456892,25.474269,26.201593,71.982618,82.078674,68.072315,76.14265,24.991474,53.806163,50.177964,81.540557,84.881035,80.297451,87.261716,133.980188,69.787387,61.146609,77.190939,92.671039,57.149776,38.126117,15.093538,19.730432,41.996895,33.460848,49.137137,77.462975,65.009429,67.355134,43.781133,54.321942,36.293564,36.700332,23.967994,29.575099,46.192054,46.571617,64.020163,44.119602,36.998362,62.526379,74.964792,140.066034,85.377777,163.647499,163.020264,143.963334,125.028633,146.1022,69.890336,73.217513,67.396863,55.893714,52.406021,48.309782,62.383691,9.088728,4.464232,0.77276,0.08371,0.690104,2.771209,0.777721,1.454081,1.460549,1.379218,0.946013,8.856127,17.436771,52.529064,25.946809,35.825895,26.87303,42.254337,28.211774,28.472808,40.220461,44.402644,39.804285,28.157007,15.685174,6.592303,1.01662,2.06369,0.409377,1.242893,2.039204,0.436058,1.528098,0.504852,16.661748,96.20505,188.886439,198.34151,166.235542,83.980335
3021,4.656526,60.919306,43.318,33.17725,42.194181,13.535805,10.433251,2.266037,0.370702,0.374141,0.66782,8.862296,0.46816,10.739233,1.299546,13.049981,6.575416,1.495594,2.003101,0.828555,9.273531,1.779485,7.183509,23.060865,3.353608,17.938069,10.389138,5.38735,43.885282,6.170111,9.845265,1.230755,38.78749,1.021349,1.202671,12.197293,62.30606,67.541494,36.62035,82.995352,71.695302,10.134213,7.192647,12.112992,4.8252,2.437428,27.461732,99.77527,30.031193,42.71688,113.21101,70.695511,188.546712,397.609708,581.67248,393.868022,314.024479,251.646426,281.614367,316.452933,348.368709,258.630002,138.355997,269.461711,105.582986,174.827469,175.544052,247.724542,267.924882,177.913625,204.039588,238.309537,278.579293,246.88141,80.090549,179.814273,170.099591,112.453584,109.771764,124.446682,79.685007,88.539952,31.746689,46.771239,75.876844,143.784727,123.135068,104.621349,155.177954,187.150821,170.990163,191.546741,177.500973,301.9048,313.255222,135.595371,121.774971,110.390675,170.886329,166.502503,127.575017,180.864441,281.576933,194.817087,271.168027,168.886908,157.115425,80.116842,80.997374,122.57502,175.34198,90.175647,115.1307,58.015688,62.513497,74.397283,117.143743,68.559502,75.486626,73.532358,38.925824,121.115111,174.347248,116.431143,86.834394,118.866456,135.933656,73.408251,124.555299,128.178138,107.551694,61.971479,98.828648,92.929153,154.837069,136.028728,131.302928,78.785231,64.180206,141.921123,192.094734,52.978684,87.939502,84.875459,47.011972,60.855793,90.584774,118.508602,74.863368,34.647275,94.924388,163.651752,149.483922,202.423455,173.046906,66.56199,32.651872,3.558438,0.184643,7.067484,83.22488,102.346202,141.649929,147.698101,114.524912,62.785217,92.372676,62.300006,44.796899,196.110808,180.529927,175.20509,146.333911,132.583112,156.571253,98.39577,11.782471,1.423731,25.267327,18.630813,0.281788,0.67283,0.474434,0.845151,22.188402,8.277739,20.064042,2.737923,3.582414,0.564738,2.603035,1.172946,1.337424,0.569986,0.83071,1.224022,26.429937,77.075713,47.223621,12.21605,20.923454,0.52982,1.67116,0.437665,0.296915,3.595389,2.92339,1.835805,1.641716,1.242338,45.125031,17.231794,0.201735,1.030033,0,105.039628,241.18724,346.541269,312.41754,28.59337,25.554766,2.625655
3024,3.902626,9.754488,0.773569,0.975693,15.022518,1.294348,1.559591,1.025432,1.217175,0.172794,1.854134,1.295654,0.695119,0.861009,12.411871,16.239388,14.857567,3.472289,1.113791,1.121877,0.258431,0.443862,8.285764,10.55178,9.234313,3.28338,11.093045,44.199568,23.351714,1.818126,1.631691,1.377259,29.194807,27.558294,11.431933,1.652327,4.918111,39.765947,17.263899,5.465475,15.54692,4.184762,0.854545,4.230325,7.274446,4.225594,17.37446,12.653982,2.050288,20.739306,14.212214,49.557766,26.795629,48.542219,127.427404,131.418857,210.636158,161.305438,256.811619,175.807637,209.271335,255.149402,182.789524,238.397399,191.813406,184.296528,235.139011,254.264736,265.939245,151.208356,163.434417,237.993256,216.266346,162.619232,129.77291,177.522591,167.797741,162.275208,72.256275,130.757816,108.027524,68.080794,73.978754,113.523819,108.040365,140.554039,109.257877,173.011119,183.005198,179.530058,143.414816,190.490491,135.160324,107.315757,121.602478,180.919898,92.829697,84.176847,88.163447,109.458964,213.935343,151.785496,187.480086,138.372739,79.367559,97.302763,20.694278,4.137855,18.17089,99.514601,115.125911,84.824602,115.632737,97.029608,111.007954,94.629728,102.6743,87.804998,37.633486,63.146964,11.069273,0.684598,1.229944,18.964753,83.897773,89.625456,87.609244,132.154868,135.614811,134.07176,43.296757,34.67368,53.562041,58.172993,95.720145,60.958559,82.783446,23.897848,4.013201,10.496348,4.659026,24.011896,18.585472,9.851936,10.160493,34.277072,40.212689,91.844489,81.423914,33.922506,11.612418,39.916498,49.246022,25.063565,71.019824,22.910095,39.120683,24.529271,19.609896,6.915398,4.459442,54.358212,90.767678,131.736373,89.729917,30.509397,14.741399,8.388271,97.399017,69.179013,94.759805,69.210307,93.53909,147.931369,100.996799,89.033527,13.353158,14.279047,2.012873,18.813657,1.552973,0.598263,1.386036,15.344209,42.609199,41.860888,73.23005,74.047244,60.120312,9.458285,40.655418,94.960337,32.296368,8.258501,26.749284,9.216617,10.264166,45.593194,49.187718,52.556366,3.813605,22.788175,28.945511,27.377375,3.913156,1.186293,0.712252,1.218893,0,0.402492,2.508758,1.017571,1.865132,1.466186,0.517525,3.058572,3.038926,0,0.529697,2.09347,0,0
3028,98.170776,20.13654,11.844507,70.584836,3.386106,1.17132,1.030855,0,1.461821,2.052893,1.623293,7.375207,15.431716,1.532078,1.654826,4.451284,1.719076,1.299121,2.170971,52.483069,51.842494,47.648731,4.609605,1.552012,1.779962,15.03955,41.30766,125.121171,64.38,28.412656,54.271763,46.18386,11.595918,3.211698,0.910984,1.143288,5.912699,24.065595,19.64588,19.286002,1.161621,1.194659,1.028896,2.339473,3.243233,2.183993,13.835696,1.815291,5.901194,3.992422,32.957827,46.586453,26.765564,33.779217,70.059014,191.696543,295.57682,233.72746,346.180981,343.963505,276.419363,253.974165,361.951373,211.731951,192.465605,171.086196,172.794707,225.672439,284.703512,341.669144,206.61865,216.055262,269.533902,446.789063,367.167124,201.411266,154.43626,103.366555,66.516618,54.643866,64.306265,34.540104,34.224305,32.109806,88.376386,311.79374,114.436625,279.58264,195.18767,291.792863,215.878854,123.214881,279.398179,195.575869,203.048353,200.130352,233.32142,318.795232,126.704819,137.624606,82.742278,39.502473,29.218656,20.077209,94.996379,195.846132,124.352995,123.806994,129.086458,57.262525,22.855481,31.407669,85.990601,114.388249,83.112152,122.432349,245.257517,175.04848,152.626156,202.668245,133.997915,162.168644,102.879278,64.217914,88.355419,170.886365,152.190668,119.328079,88.57807,43.35244,78.437844,87.923195,41.447976,11.261823,15.696524,6.065649,2.605861,3.593906,18.341874,53.857369,78.754435,85.468038,44.716241,87.355905,72.668605,85.27295,17.82872,30.641428,12.862152,23.711023,36.454588,71.018779,41.329681,54.332198,140.510673,109.67697,142.502075,95.874803,66.478747,14.850466,18.65108,103.399674,61.2583,86.331128,134.858852,235.320672,332.926928,308.800112,303.865168,218.196976,197.005086,156.920477,81.203021,85.810136,130.135237,105.892541,48.118528,11.419395,16.337743,2.689524,1.023653,12.30519,22.185598,63.299414,88.165466,86.816165,98.827943,120.351653,65.567253,65.892531,85.688239,143.011463,74.214081,65.903302,77.239828,84.359952,54.300156,32.629765,1.905309,10.426939,36.198853,66.84948,62.629318,33.582305,28.685061,1.744609,2.501338,1.213251,1.21627,0.844529,17.863789,95.154087,64.94579,52.158789,175.336351,223.828225,145.549077,140.130699,111.227367,33.878899,3.291062,0.218026
3029,2.047559,0.556156,8.439173,0.290682,8.22026,0.286395,1.528736,8.776334,4.779926,9.505687,10.452852,15.682783,8.490641,5.724157,1.48754,0.455529,1.491996,5.025102,5.826571,5.340651,6.082051,5.12467,13.97735,1.387255,1.687639,17.149382,1.713366,1.393636,0.662488,16.515043,10.405916,2.154904,0.642785,19.098812,9.131893,9.898806,8.711794,2.732864,7.796589,44.96273,81.819189,66.296209,37.312623,3.37086,9.996464,22.685104,5.504385,2.257094,26.860342,46.971319,28.755595,77.268159,78.915501,88.551522,204.624061,86.853151,223.482832,308.110854,221.763986,277.275728,411.448957,233.888426,261.619865,231.678097,225.505092,212.737831,233.891657,217.920647,174.166788,147.826654,88.517461,106.956166,116.147739,121.324404,76.219685,98.642764,49.181113,97.949318,53.233335,94.645135,47.074179,68.545835,153.785912,239.59956,344.894012,204.252787,295.903236,186.889464,194.794907,200.309242,183.687759,171.133561,72.872576,112.047151,206.269497,123.026708,122.602235,120.840312,158.70903,125.507869,135.063339,80.012943,71.766654,75.896122,63.050811,35.485638,46.118373,79.914326,120.991728,146.510546,109.161145,97.43753,57.027038,81.572306,23.297466,0.280884,61.568411,109.782892,187.150784,155.722997,169.051655,159.681981,91.380869,80.106413,31.88385,18.557388,1.515786,0.560337,5.457513,16.416651,8.642635,46.388875,55.593149,55.729615,59.340893,27.730343,0.661077,20.787372,31.290164,34.142034,43.858848,67.20499,70.267158,92.407061,157.687551,111.313913,28.627093,48.720162,10.133614,1.859282,52.453516,25.558102,1.299119,16.36585,7.583238,9.954173,15.969433,23.798131,7.236264,60.146539,17.844073,76.994807,125.319486,90.189285,50.996669,63.559065,60.249826,87.467981,212.054033,285.301878,147.551719,136.534903,84.847842,41.116247,144.772518,109.842145,85.072994,30.256518,31.743001,65.259696,61.497058,32.009532,16.067893,14.08327,1.216129,17.135361,49.33092,77.979097,101.189858,172.322395,116.21757,65.43536,109.367984,94.669889,72.655648,141.487244,167.381297,180.110841,164.933175,122.765361,48.091837,13.425734,16.814472,8.100554,35.126563,35.826248,38.93263,18.721438,42.343115,3.912299,42.834679,0.200593,0.607418,0,23.911886,3.083769,47.552441,121.715349,43.306314,32.413838,43.804175,20.036609
3031,10.775291,9.868506,1.295044,2.059409,1.914412,0.406194,8.875729,31.567948,45.249613,40.13376,3.161728,12.120036,2.185853,1.7864,25.574972,18.021849,21.262616,2.195034,1.616348,1.609338,0.287645,7.151394,20.177443,3.208394,3.804654,13.324312,21.0567,20.264409,11.012122,2.759159,47.760214,17.265931,3.519839,28.705117,16.558295,7.067109,14.177526,18.013841,18.650031,17.771159,14.652731,13.036871,2.755804,2.1049,9.133573,18.676686,52.092915,28.920215,26.323302,5.528822,15.620662,26.988541,15.276401,29.363665,295.060365,366.322088,361.102457,336.422609,380.849633,278.084941,163.978077,125.041685,95.486907,81.95247,73.633251,149.456838,135.933455,129.789198,56.936418,38.671718,55.301774,71.655145,33.088764,65.864376,100.67034,116.474483,37.211488,61.225946,72.743325,101.941521,112.719152,84.873681,46.258801,49.568895,46.098748,66.264852,58.618796,138.978985,89.886313,144.484875,225.373027,147.5076,94.906442,71.609216,106.440721,45.825963,107.502465,151.267034,80.327688,104.958648,130.778249,118.103772,140.825212,120.428001,122.09779,80.280404,131.511144,86.703614,138.029457,73.688322,65.460527,104.728368,73.728697,89.80648,92.919161,104.067349,129.835504,218.845221,207.403066,186.880649,190.597629,120.157222,148.309572,84.737943,138.372376,93.897311,152.473217,116.297307,53.281264,178.043465,174.49849,93.854966,169.295803,99.331777,70.232574,96.75307,76.163434,93.473064,53.984787,26.454695,7.970636,25.72938,59.927126,76.983484,52.263104,29.263306,58.785032,36.116949,39.1462,43.708111,22.014912,29.01388,102.157986,57.214551,80.525667,4.186784,2.639907,12.773602,40.867764,39.69087,52.139568,61.812386,86.477711,61.548768,101.348918,38.767875,67.543556,121.175038,194.021542,203.53449,143.19207,105.987582,68.279208,77.574661,36.514026,19.966416,2.843875,1.680399,9.202186,16.989365,18.890016,5.091289,22.7547,22.084136,4.276381,2.161631,16.743517,33.229723,51.482934,28.894107,44.989338,3.57668,1.270258,4.904117,24.527587,27.938581,2.050006,0.635553,8.411376,13.402698,7.88246,56.665281,15.033236,2.523045,0.78578,0.918897,0,2.779334,4.715248,21.609362,35.420311,13.682062,69.939846,181.572979,46.181462,47.022685,30.556302,23.291574,6.99416,1.026461,1.624232,1.905288
3033,30.319994,26.771908,1.387524,0.511939,10.912457,0.967874,2.56467,10.558728,2.1629,1.676606,0.255612,0.862425,1.792631,2.694928,1.196691,21.477966,35.79819,1.213555,1.836983,9.279448,2.158602,9.949175,26.267001,28.634347,2.321045,2.061719,20.54918,1.552057,1.559053,10.906886,4.031655,10.29534,1.463572,1.475747,1.806066,9.742999,27.803299,2.016777,2.139449,5.951468,18.479797,7.261339,15.309903,2.079127,12.613717,5.059013,44.006312,21.287558,4.884909,34.941835,26.078712,41.501103,92.023466,101.993839,168.303838,343.972341,462.456316,464.558446,473.818244,459.589575,329.804383,253.681789,137.665085,100.064083,93.575004,122.564185,98.474367,120.006765,89.006816,87.500463,117.802241,206.754771,190.556806,192.916549,101.910183,72.4121,76.020641,92.091379,124.226669,167.933379,204.052587,179.797678,156.736236,185.114372,171.220053,172.896575,148.420429,79.05792,69.826308,50.359169,105.442121,135.009094,152.475815,215.802599,272.774841,224.261027,178.35847,194.424717,288.204698,214.445278,182.056021,180.104903,99.511328,80.808084,115.317032,137.886682,111.79484,69.441408,87.327354,110.687412,159.44061,138.519369,139.780847,119.712343,150.925612,116.861899,98.250405,100.334005,109.852718,139.319708,97.841643,121.083261,47.990252,105.158673,90.15072,111.65664,111.988026,136.381853,132.000053,111.1739,109.039228,101.118125,131.055052,87.480298,49.109242,66.644276,103.994786,75.859848,81.70457,126.718302,94.922088,58.670888,37.05619,18.664136,84.643236,76.686651,86.409008,91.749234,93.392135,88.369224,58.107086,54.890158,35.045131,29.868959,25.337349,80.786376,86.601736,138.536784,124.645957,146.100084,130.907226,93.709303,93.037022,85.911968,28.336094,32.075637,34.073244,32.940954,88.055425,52.844344,38.971888,65.513073,97.841813,110.163268,165.663708,73.368075,40.447449,19.56744,1.869904,0.686336,1.033553,0.704361,2.514274,0.084951,1.194172,1.454491,5.313253,0.764521,0.975814,0.529092,0.775346,1.113934,1.453464,1.983556,1.359607,4.151207,1.453947,1.869887,3.521334,1.982885,0.832134,2.296605,0.68778,1.792711,3.644315,21.651161,2.390614,2.247752,24.528414,56.156209,73.943999,17.280912,11.728257,3.405261,0.502193,1.576326,2.057169,5.629775,0.527625,3.068838,0,3.093715
3035,0.704151,1.293301,30.093973,1.620447,53.963995,48.803783,17.45221,35.74014,83.342786,55.639512,50.6925,34.80365,95.493945,80.627609,60.013327,2.066398,0.934901,2.069806,27.086192,19.724648,55.471517,19.341682,31.032981,48.114073,57.458418,210.833389,132.524415,19.898835,0.924677,0.116498,5.646531,107.869237,43.180391,62.230328,207.079434,100.85338,186.068457,239.698256,148.871012,136.24737,90.602932,120.414477,115.140636,103.619755,209.476323,322.376957,380.014664,258.167347,132.398244,108.461412,51.503121,76.993944,247.493232,316.883356,1219.084912,1059.077241,1197.970656,1206.537215,1105.71192,1068.36645,1129.33098,1152.576028,942.434171,1211.321516,1069.304344,1108.64722,1125.826295,1189.931526,995.165756,1054.937251,1140.650816,1244.42239,1249.09507,1233.29904,891.848629,771.559054,858.820284,635.121303,910.539857,771.50265,952.512365,777.8958,649.19024,702.455084,779.279558,938.040848,960.748605,957.409425,751.956747,668.772401,681.206096,399.499537,508.30417,579.640436,412.725721,319.722349,115.296371,132.518849,19.46718,60.199983,72.066754,196.551538,312.370076,402.468102,401.848897,411.173125,528.923894,659.486193,588.066419,409.092829,218.219872,75.634375,65.483013,37.583995,165.756497,180.213859,158.762678,162.194821,122.754219,52.666824,165.358621,216.802039,92.825864,143.288055,269.212705,391.215353,428.847303,281.558902,140.759489,42.014911,100.18112,140.127551,65.047949,44.451385,36.256697,3.509223,17.175911,99.965071,142.023578,167.8144,195.625844,210.806918,372.33406,365.76433,215.156508,146.328973,134.1377,44.861833,123.576961,143.076163,3.568925,2.630243,33.373384,109.213108,104.037392,187.158709,338.118308,171.441692,152.569914,181.073197,95.914646,81.508356,15.003393,1.776496,0.688387,1.680122,64.353997,125.575697,164.07349,225.69352,360.021404,341.361346,250.888746,148.49009,102.307448,55.323905,42.667834,3.299904,18.765333,15.302897,50.641988,16.708883,2.886632,3.112052,37.678037,139.181536,71.546069,60.574903,99.204472,116.294847,78.018198,110.1629,100.524047,120.627706,154.012277,204.701446,93.58295,97.075337,97.096869,130.524682,147.974499,26.234427,11.13393,148.78241,112.607949,38.701667,84.206698,0.781598,6.57556,0.785857,0,0.759024,0,1.560862,147.869055,246.824782,4.127909,6.956578,0,3.207914,119.616415,2.05706
3036,13.944821,1.629639,2.516937,33.036025,1.682706,15.08807,12.966207,2.259744,30.927147,39.838203,21.216057,28.085556,37.043534,1.581085,2.756596,13.628488,46.94134,65.698951,11.090163,26.087308,8.211671,11.963334,23.674302,36.815538,1.584003,30.564205,69.42309,8.474718,0.568997,14.701295,1.143806,30.844556,72.367979,126.579718,59.691036,91.14064,106.818652,32.962887,5.303184,7.418158,28.485083,66.546584,19.927781,26.416959,2.151427,34.702665,83.946716,88.12312,146.535655,136.991855,107.477248,86.4088,200.294509,141.62185,218.784196,213.615473,346.829857,513.050819,631.472411,507.550746,487.135217,404.184611,310.777264,240.371862,192.749312,229.162759,92.426475,91.046489,108.49568,208.870684,227.922214,225.575639,239.737629,232.372431,191.529257,196.281042,205.169493,116.844549,157.943301,104.107735,48.196721,80.434981,74.319012,52.449097,171.703316,183.200399,297.930899,261.42512,151.741925,217.134292,220.245187,276.55164,214.274888,138.04842,83.18438,57.806835,126.189404,111.946817,176.098185,98.402767,65.322661,67.476912,81.053398,85.625515,94.104629,190.483998,153.638908,198.491404,191.182394,242.519008,235.27665,168.118444,115.210627,105.406577,61.74411,189.80671,154.393902,127.147319,84.399748,75.440117,55.745747,27.665183,40.406674,69.675805,93.060894,87.242684,58.434322,157.204901,175.294113,146.96012,255.53546,198.341228,102.881637,141.800423,59.177486,31.888095,2.887285,53.601556,54.639182,63.872105,118.405375,49.232739,68.882408,83.128875,79.879736,73.040287,105.801615,101.166286,54.72107,46.607518,35.082074,78.427054,79.686033,64.752704,56.299158,38.770246,15.261805,2.36571,3.288226,26.316111,49.797055,18.717618,11.983441,95.348873,198.283634,68.02854,78.003463,104.84297,142.531921,135.298264,80.123436,97.979408,50.634237,20.368748,26.926952,15.565247,26.755964,21.161988,9.953081,36.769154,59.434099,50.629686,60.823767,103.547197,115.073175,85.202815,104.250591,159.333187,260.028889,297.319112,233.676128,199.351102,150.938453,254.189488,157.25718,204.966773,200.760943,116.354897,81.544399,42.912585,3.324841,3.165958,8.071184,34.138565,32.13,27.461053,42.294655,49.751428,70.828382,52.180334,25.409877,46.757027,57.611266,35.00827,93.532379,85.136603,37.403117,78.403693,45.261336,42.10573,20.05153,1.432073
